|match_id|player|possession_team|shot_end_location|possession_team_id|location|minute|location_x|location_y|z|x|y|match|competition_stage|score
0|7548|Philippe Coutinho Correia|Brazil|[120.0, 38.9, 0.3]|781.0|[113.0, 38.0]|90.0|113.0|38.0|120.0|38.9|0.3|Brazil vs Costa Rica|Group Stage|2-0
1|7548|Neymar da Silva Santos Junior|Brazil|[120.0, 36.6, 1.6]|781.0|[115.0, 42.0]|96.0|115.0|42.0|120.0|36.6|1.6|Brazil vs Costa Rica|Group Stage|2-0
2|7578|José María Giménez de Vargas|Uruguay|[119.0, 43.6, 2.0]|783.0|[113.0, 37.0]|88.0|113.0|37.0|119.0|43.6|2.0|Egypt vs Uruguay|Group Stage|0-1
3|7553|Carlos Alberto Vela Garrido|Mexico|[120.0, 41.5, 1.8]|794.0|[109.0, 41.0]|25.0|109.0|41.0|120.0|41.5|1.8|South Korea vs Mexico|Group Stage|1-2
4|7553|Javier Hernández Balcázar|Mexico|[120.0, 38.3, 0.1]|794.0|[111.0, 32.0]|65.0|111.0|32.0|120.0|38.3|0.1|South Korea vs Mexico|Group Stage|1-2
5|7553|Heung-Min Son|South Korea|[120.0, 36.2, 1.4]|791.0|[97.0, 54.0]|92.0|97.0|54.0|120.0|36.2|1.4|South Korea vs Mexico|Group Stage|1-2
6|7544|Luis Alberto Suárez Díaz|Uruguay|[120.0, 43.6, 1.1]|783.0|[114.0, 43.0]|22.0|114.0|43.0|120.0|43.6|1.1|Uruguay vs Saudi Arabia|Group Stage|1-0
7|7536|Dries Mertens|Belgium|[120.0, 36.2, 1.5]|782.0|[105.0, 59.0]|46.0|105.0|59.0|120.0|36.2|1.5|Belgium vs Panama|Group Stage|3-0
8|7536|Romelu Lukaku Menama|Belgium|[120.0, 44.0, 1.7]|782.0|[114.0, 43.0]|68.0|114.0|43.0|120.0|44.0|1.7|Belgium vs Panama|Group Stage|3-0
9|7536|Romelu Lukaku Menama|Belgium|[120.0, 39.9, 0.5]|782.0|[110.0, 29.0]|74.0|110.0|29.0|120.0|39.9|0.5|Belgium vs Panama|Group Stage|3-0
10|7555|Yerry Fernando Mina González|Colombia|[120.0, 37.0, 2.0]|769.0|[116.0, 38.0]|39.0|116.0|38.0|120.0|37.0|2.0|Poland vs Colombia|Group Stage|0-3
11|7555|Radamel Falcao García Zárate|Colombia|[120.0, 36.2, 1.6]|769.0|[108.0, 47.0]|69.0|108.0|47.0|120.0|36.2|1.6|Poland vs Colombia|Group Stage|0-3
12|7555|Juan Guillermo Cuadrado Bello|Colombia|[120.0, 44.0, 1.6]|769.0|[105.0, 38.0]|74.0|105.0|38.0|120.0|44.0|1.6|Poland vs Colombia|Group Stage|0-3
13|7546|Kylian Mbappé Lottin|France|[120.0, 40.5, 0.9]|771.0|[119.0, 41.0]|33.0|119.0|41.0|120.0|40.5|0.9|France vs Peru|Group Stage|1-0
14|7539|M''Baye Babacar Niang|Poland|[120.0, 39.9, 1.0]|789.0|[113.0, 40.0]|59.0|113.0|40.0|120.0|39.9|1.0|Poland vs Senegal|Group Stage|1-2
15|7539|Grzegorz Krychowiak|Poland|[120.0, 43.8, 2.0]|789.0|[114.0, 39.0]|85.0|114.0|39.0|120.0|43.8|2.0|Poland vs Senegal|Group Stage|1-2
16|7538|Andreas Granqvist|Sweden|[120.0, 43.0, 0.4]|790.0|[109.0, 41.0]|64.0|109.0|41.0|120.0|43.0|0.4|Sweden vs South Korea|Group Stage|1-0
17|7576|Cristiano Ronaldo dos Santos Aveiro|Portugal|[120.0, 43.8, 1.3]|780.0|[109.0, 41.0]|3.0|109.0|41.0|120.0|43.8|1.3|Portugal vs Spain|Group Stage|3-3
18|7576|Diego da Silva Costa|Spain|[120.0, 36.2, 0.4]|772.0|[105.0, 45.0]|23.0|105.0|45.0|120.0|36.2|0.4|Portugal vs Spain|Group Stage|3-3
19|7576|Cristiano Ronaldo dos Santos Aveiro|Portugal|[119.0, 39.1, 0.5]|780.0|[101.0, 36.0]|43.0|101.0|36.0|119.0|39.1|0.5|Portugal vs Spain|Group Stage|3-3
20|7576|Diego da Silva Costa|Spain|[120.0, 41.3, 2.0]|772.0|[118.0, 41.0]|54.0|118.0|41.0|120.0|41.3|2.0|Portugal vs Spain|Group Stage|3-3
21|7576|José Ignacio Fernández Iglesias|Spain|[120.0, 36.2, 0.8]|772.0|[99.0, 52.0]|57.0|99.0|52.0|120.0|36.2|0.8|Portugal vs Spain|Group Stage|3-3
22|7576|Cristiano Ronaldo dos Santos Aveiro|Portugal|[120.0, 42.8, 1.9]|780.0|[96.0, 44.0]|87.0|96.0|44.0|120.0|42.8|1.9|Portugal vs Spain|Group Stage|3-3
23|7565|José Paulo Bezzera Maciel Júnior|Brazil|[120.0, 41.7, 0.9]|781.0|[106.0, 39.0]|34.0|106.0|39.0|120.0|41.7|0.9|Serbia vs Brazil|Group Stage|0-2
24|7565|Thiago Emiliano da Silva|Brazil|[120.0, 36.4, 1.9]|781.0|[116.0, 36.0]|67.0|116.0|36.0|120.0|36.4|1.9|Serbia vs Brazil|Group Stage|0-2
25|7551|Ola Toivonen|Sweden|[120.0, 37.2, 1.6]|790.0|[112.0, 48.0]|31.0|112.0|48.0|120.0|37.2|1.6|Germany vs Sweden|Group Stage|2-1
26|7551|Marco Reus|Germany|[120.0, 36.4, 0.4]|770.0|[112.0, 40.0]|47.0|112.0|40.0|120.0|36.4|0.4|Germany vs Sweden|Group Stage|2-1
27|7551|Toni Kroos|Germany|[120.0, 42.8, 2.0]|770.0|[111.0, 20.0]|94.0|111.0|20.0|120.0|42.8|2.0|Germany vs Sweden|Group Stage|2-1
28|7550|Aleksandar Mitrović|Serbia|[120.0, 37.2, 2.2]|786.0|[115.0, 39.0]|4.0|115.0|39.0|120.0|37.2|2.2|Serbia vs Switzerland|Group Stage|1-2
29|7550|Granit Xhaka|Switzerland|[120.0, 41.9, 1.5]|773.0|[95.0, 22.0]|51.0|95.0|22.0|120.0|41.9|1.5|Serbia vs Switzerland|Group Stage|1-2
30|7550|Xherdan Shaqiri|Switzerland|[120.0, 43.8, 0.5]|773.0|[111.0, 31.0]|89.0|111.0|31.0|120.0|43.8|0.5|Serbia vs Switzerland|Group Stage|1-2
31|7537|Harry Kane|England|[120.0, 41.7, 0.5]|768.0|[116.0, 46.0]|10.0|116.0|46.0|120.0|41.7|0.5|Tunisia vs England|Group Stage|1-2
32|7537|Ferjani Sassi|Tunisia|[119.0, 36.4, 0.5]|777.0|[108.0, 40.0]|34.0|108.0|40.0|119.0|36.4|0.5|Tunisia vs England|Group Stage|1-2
